"FIPS","Population","HS","BAorHigher","Owner_Occupied","Uninsured","Poverty","MetroArea","Unemployment","HHIncome_med","HHInc_PercStateTotal","Rural_Urban","UrbanInfCode","EconType","Male","WhiteAlone","BlackAlone","AsianAlone","Hispanic","Multiple"
0,"327167434",27.1,31.5,NA,NA,13.1,NA,3.9,"61937 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000,"4887871",30.9,24.9,NA,NA,16.8,NA,3.9,"49881 ",100,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,"55601",32.6,27.7,NA,NA,13.8,"Yes",3.6,"59338 ",119,"2 - Metro (250,000 to 1 million urban pop.)","2 - Small (metro, <1 million residents)","Nonspecialized",48.5512850488301,76.7252387546987,19.6309418895344,1.22479811514181,2.96577399687056,1.82730526429381
1003,"218022",27.6,31.3,74.0154196157735,NA,9.8,"Yes",3.6,"57588 ",115.5,"3 - Metro (< 250,000 urban pop.)","2 - Small (metro, <1 million residents)","Recreation",48.4616231389493,87.2852280962472,8.94038216326793,1.15034262597353,4.64677876544569,1.78468227976993
1005,"24881",35.7,12.2,NA,NA,30.9,"No",5.2,"34382 ",68.9,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","6 - Noncore (adjacent to small metro, with a town of ≥ 2,500)","Manufacturing",52.7832482617258,49.0695711587155,48.3983762710502,0.454161810216631,4.27635545195129,1.23387323660625
1007,"22400",47.3,11.5,NA,NA,21.8,"Yes",4,"46064 ",92.3,"1 - Metro (1 million+ urban pop.)","1 - Large (metro, 1 million+ residents)","Nonspecialized",53.21875,76.8348214285714,21.2946428571429,0.236607142857143,2.625,1.08035714285714
1009,"57840",34,12.6,NA,NA,13.2,"Yes",3.5,"50412 ",101.1,"1 - Metro (1 million+ urban pop.)","1 - Large (metro, 1 million+ residents)","Nonspecialized",49.2738589211618,95.8782849239281,1.64246196403873,0.31984785615491,9.57123098201937,1.38485477178423
1011,"10138",39.7,13.3,NA,NA,42.5,"No",4.7,"29267 ",58.7,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","6 - Noncore (adjacent to small metro, with a town of ≥ 2,500)","Manufacturing",54.5176563424739,26.2477806273427,70.704280923259,0.187413691063326,7.96014993095285,1.27244032353521
1013,"19680",43.9,16.1,NA,NA,24.5,"No",4.8,"37365 ",74.9,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","6 - Noncore (adjacent to small metro, with a town of ≥ 2,500)","Nonspecialized",46.5701219512195,52.2510162601626,44.9136178861789,1.31605691056911,1.50914634146341,1.09247967479675
1015,"114277",32.4,18,69.8609207540387,NA,19.5,"Yes",4.7,"45400 ",91,"3 - Metro (< 250,000 urban pop.)","2 - Small (metro, <1 million residents)","Government",48.0534140728231,75.2784899848613,21.1354865808518,0.964323529669137,3.91067318883065,1.97152532880632
